Vector configuration,Seconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other, # Total
Random N=500,0.0722144,232534,233466,63888,297354,0,827242,
Random N=1000,0.370567,232534,233466,63888,297354,0,827242,
Random N=5000,1.72147,232534,233466,63888,297354,0,827242,
Random N=10000,5.04191,232534,233466,63888,297354,0,827242,
Sorted N=500,0.74749,232534,233466,63888,297354,0,827242,
Sorted N=1000,0.832563,983016,984984,246747,1231731,0,3446478,
Sorted N=5000,0.92495,983016,984984,246747,1231731,0,3446478,
Sorted N=10000,0.263246,983016,984984,246747,1231731,0,3446478,
Sorted N=500,0.35792,983016,984984,246747,1231731,0,3446478,
Sorted N=1000,0.761577,983016,984984,246747,1231731,0,3446478,
Sorted N=5000,1.99476,24625074,24634926,6294824,30929750,0,86484574,
Sorted N=10000,6.59068,24625074,24634926,6294824,30929750,0,86484574,
