Vector configuration,Seconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other, # Total
Random N=500,0.0329668,0,129274,64886,64887,0,259047,
Random N=1000,0.210082,0,129274,64886,64887,0,259047,
Random N=5000,0.744623,0,129274,64886,64887,0,259047,
Random N=10000,1.50551,0,129274,64886,64887,0,259047,
Sorted N=500,0.747347,0,129274,64886,64887,0,259047,
Sorted N=1000,0.83233,0,496492,248745,248746,0,993983,
Sorted N=5000,0.923948,0,496492,248745,248746,0,993983,
Sorted N=10000,0.261301,0,496492,248745,248746,0,993983,
Sorted N=500,0.301956,0,496492,248745,248746,0,993983,
Sorted N=1000,0.536802,0,496492,248745,248746,0,993983,
Sorted N=5000,0.985837,0,12604646,6304822,6304823,0,25214291,
Sorted N=10000,2.81534,0,12604646,6304822,6304823,0,25214291,
