Vector configuration,Seconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other, # Total
Random N=500,0.0161752,124750,125749,4077,126248,0,380824,
Random N=1000,0.144847,124750,125749,4077,126248,0,380824,
Random N=5000,0.89998,124750,125749,4077,126248,0,380824,
Random N=10000,2.32876,124750,125749,4077,126248,0,380824,
Sorted N=500,0.738483,124750,125749,4077,126248,0,380824,
Sorted N=1000,0.798412,499500,501499,8929,502498,0,1512426,
Sorted N=5000,0.883697,499500,501499,8929,502498,0,1512426,
Sorted N=10000,2.33379,499500,501499,8929,502498,0,1512426,
Sorted N=500,0.277104,499500,501499,8929,502498,0,1512426,
Sorted N=1000,0.438523,499500,501499,8929,502498,0,1512426,
Sorted N=5000,0.93786,12497500,12507499,54153,12512498,0,37571650,
Sorted N=10000,2.23072,12497500,12507499,54153,12512498,0,37571650,
